line_1,suburb,postal_code,state,country,location
59 BALYANDO DRIVE,NERANG,4211,QLD,AUSTRALIA,"{'longitude': 153.32561629, 'latitude': -27.98284601}"
46 SEAGULL AVENUE,MERMAID BEACH,4218,QLD,AUSTRALIA,"{'longitude': 153.43978731, 'latitude': -28.05766423}"
117 RUDDLE DRIVE,REESVILLE,4552,QLD,AUSTRALIA,"{'longitude': 152.81816997, 'latitude': -26.76958611}"
"UNIT 2, 131 MCAULEY PARADE",PACIFIC PINES,4211,QLD,AUSTRALIA,"{'longitude': 153.30632939, 'latitude': -27.93099108}"
4 CACTUS COURT,UPPER COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.27783359, 'latitude': -27.89779264}"
"UNIT 81, 20 FAIRWAY DRIVE",CLEAR ISLAND WATERS,4226,QLD,AUSTRALIA,"{'longitude': 153.4058659, 'latitude': -28.03641741}"
57 KALIMNA DRIVE,BROADBEACH WATERS,4218,QLD,AUSTRALIA,"{'longitude': 153.41402051, 'latitude': -28.02423121}"
10 CRUSADER WAY,NERANG,4211,QLD,AUSTRALIA,"{'longitude': 153.32649315, 'latitude': -28.00065424}"
29 MANNING CIRCUIT,PACIFIC PINES,4211,QLD,AUSTRALIA,"{'longitude': 153.30072722, 'latitude': -27.93852996}"
5 NYRANG DRIVE,PIMPAMA,4209,QLD,AUSTRALIA,"{'longitude': 153.28545859, 'latitude': -27.80589739}"
240 FOXWELL ROAD,COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.32665704, 'latitude': -27.85416136}"
"UNIT 15, 4 RHIANA STREET",PIMPAMA,4209,QLD,AUSTRALIA,"{'longitude': 153.2885265, 'latitude': -27.81795242}"
"UNIT 1, 70 CARTER ROAD",NAMBOUR,4560,QLD,AUSTRALIA,"{'longitude': 152.94885069, 'latitude': -26.62478412}"
"UNIT 2, 4 KAROME STREET",PACIFIC PARADISE,4564,QLD,AUSTRALIA,"{'longitude': 153.0756133, 'latitude': -26.62066434}"
"UNIT 1, 26 BLACKALL TERRACE",NAMBOUR,4560,QLD,AUSTRALIA,"{'longitude': 152.95963604, 'latitude': -26.62041603}"
14 STINSON CIRCUIT,COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.34401519, 'latitude': -27.84131006}"
13 LEE STREET,PIMPAMA,4209,QLD,AUSTRALIA,"{'longitude': 153.31512286, 'latitude': -27.82507214}"
"TOWNHOUSE 6, 1 BARRATT STREET",COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.33396586, 'latitude': -27.84968363}"
19 CLARENCE DRIVE,HELENSVALE,4212,QLD,AUSTRALIA,"{'longitude': 153.32631109, 'latitude': -27.89030035}"
22 VALLEY CRESCENT,PALMVIEW,4553,QLD,AUSTRALIA,"{'longitude': 153.07047578, 'latitude': -26.74292316}"
30 FIGBIRD CRESCENT,BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.05923898, 'latitude': -26.70800711}"
13 DEWRANG DRIVE,PIMPAMA,4209,QLD,AUSTRALIA,"{'longitude': 153.27621341, 'latitude': -27.80627585}"
